Especie,Alfa,Talla_minima
Bacalao (Gadus morhua),COD,35
Eglefino (Melanogrammus,HAD,30
Carbonero (Pollachius virens),POK,35
Abadejo (Pollachius pollachius),POL,30
Merluza (Merluccius merluccius),HKE,27
L.boscii,LBD,20
L.Whiffiagonis,MEG,20
Lenguados (Solea spp.),SOL,24
Solla (Pleuronectes platessa),PLE,27
Merlán (Merlangius merlangus),WHB,27
Maruca (Molva molva),LIN,63
Cigala (Nephrops norvegicus),CIG,2
Caballa (Scomber spp.),MAG,20
Jurel (Trachurus spp.),HOM,15
Anchoa (Engraulis encrasicolus),ANE,12
Lubina (Dicentrarchus labrax),BSS,42
Sardina (Sardina pilchardus),PIL,11
Besugo (Pagellus bogaraveo),SBR,36